Year,State,Data Status,Rev_Thousand Dollars,Sales_Megawatthours,Customers_Count,Price_Cents/kWh
2016,UT,Final,1032342,9370656,1041826,11.02
2016,VA,Final,5131025,45186057,3362985,11.36
2016,VT,Final,357128,2056402,312239,17.37
2016,WA,Final,3244682,34211748,2985799,9.48
2016,WI,Final,3069410,21814249,2662278,14.07
2016,WV,Final,1301903,11375581,860375,11.44
2016,WY,Final,306298,2751073,269647,11.13
2016,US,Final,177076739,1411058153,131068719,12.55
2015,AK,Final,405270,2044184,282283,19.83
2015,AL,Final,3731831,31908530,2182614,11.7
2015,AR,Final,1794303,18273389,1356658,9.82
2015,AZ,Final,4023333,33167205,2689225,12.13
2015,CA,Final,15187827,89386373,13380682,16.99
2015,CO,Final,2227990,18384936,2225723,12.12
2015,CT,Final,2699306,12892862,1468957,20.94
2015,DC,Final,324309,2497559,247469,12.99
2015,DE,Final,650835,4848998,413444,13.42
2015,FL,Final,14216590,122759472,8963967,11.58
2015,GA,Final,6511155,56421650,4191206,11.54
2015,HI,Final,781896,2641336,428340,29.6
2015,IA,Final,1603951,13786328,1356598,11.63
2015,ID,Final,799700,8054693,701448,9.93
2015,IL,Final,5581101,44645638,5172653,12.5
2015,IN,Final,3753084,32441693,2804861,11.57
2015,KS,Final,1634552,13241682,1231825,12.34
2015,KY,Final,2680343,26168093,1947068,10.24
2015,LA,Final,2943587,31545313,2043759,9.33
2015,MA,Final,4000022,20175317,2794918,19.83
2015,MD,Final,3786876,27403336,2255557,13.82
2015,ME,Final,727922,4662301,699241,15.61
2015,MI,Final,4810815,33357876,4282857,14.42
2015,MN,Final,2630742,21713970,2374674,12.12
2015,MO,Final,3799962,33911760,2734548,11.21
2015,MS,Final,2092177,18561101,1270398,11.27
2015,MT,Final,525004,4825213,491421,10.88
2015,NC,Final,6531847,57901557,4336694,11.28
2015,ND,Final,467895,4862542,371503,9.62
2015,NE,Final,1010527,9532132,825942,10.6
2015,NH,Final,837549,4526948,607463,18.5
2015,NJ,Final,4607270,29142283,3489108,15.81
2015,NM,Final,828169,6641724,871044,12.47
2015,NV,Final,1574103,12338538,1126219,12.76
2015,NY,Final,9456188,51012745,7079095,18.54
2015,OH,Final,6590569,51492954,4892912,12.8
2015,OK,Final,2293592,22615824,1723937,10.14
2015,OR,Final,1948315,18269007,1686974,10.66
2015,PA,Final,7423145,54418663,5304275,13.64
2015,RI,Final,604825,3135506,440190,19.29
2015,SC,Final,3778451,30059188,2185966,12.57
2015,SD,Final,506522,4571325,388374,11.08
2015,TN,Final,4291880,41667411,2783057,10.3
2015,TX,Final,16838434,145651913,10317999,11.56
2015,UT,Final,992264,9117153,1021839,10.88
2015,VA,Final,5221259,45928411,3332082,11.37
2015,VT,Final,356986,2088940,312059,17.09
2015,WA,Final,3098110,34071987,2945759,9.09
2015,WI,Final,2994383,21214787,2647223,14.11
2015,WV,Final,1153344,11437451,861332,10.08
2015,WY,Final,293517,2676702,268226,10.97
2015,US,Final,177623623,1404096499,129811667,12.65
2014,AK,Final,391068,2043614,281433,19.14
2014,AL,Final,3781917,32929598,2169785,11.48
2014,AR,Final,1753284,18441119,1345007,9.51
2014,AZ,Final,3848998,32346079,2661692,11.9
2014,CA,Final,14517393,89360680,13256067,16.25
2014,CO,Final,2203838,18092932,2193519,12.18
2014,CT,Final,2523349,12777579,1459240,19.75
2014,DC,Final,263973,2072205,239355,12.74
2014,DE,Final,617400,4644841,407508,13.29
2014,FL,Final,13854538,116535263,8891018,11.89
2014,GA,Final,6659464,57167387,4137055,11.65
2014,HI,Final,957073,2583770,425168,37.04
2014,IA,Final,1610036,14426582,1348629,11.16
2014,ID,Final,791099,8134913,690276,9.72
2014,IL,Final,5481125,46009458,5145020,11.91
2014,IN,Final,3861636,33703965,2784660,11.46
2014,KS,Final,1665583,13684952,1228849,12.17
2014,KY,Final,2785001,27399768,1939486,10.16
2014,LA,Final,3005472,31400683,2026221,9.57
2014,MA,Final,3490569,20071160,2720127,17.39
2014,MD,Final,3746115,27487633,2234962,13.63
2014,ME,Final,711813,4660605,706952,15.27
2014,MI,Final,4846496,33514991,4273127,14.46
2014,MN,Final,2737895,22791466,2345847,12.01
2014,MO,Final,3807788,35792644,2724540,10.64
2014,MS,Final,2141264,18922097,1263581,11.32
2014,MT,Final,505962,4969243,485038,10.18
2014,NC,Final,6511383,58649994,4303474,11.1
2014,ND,Final,490071,5357514,360169,9.15
2014,NE,Final,1043023,10028238,817416,10.4
2014,NH,Final,790656,4510487,606882,17.53
2014,NJ,Final,4400228,27892582,3470875,15.78
2014,NM,Final,812034,6611970,869874,12.28
2014,NV,Final,1541121,11916521,1110533,12.93
2014,NY,Final,10031316,49974914,7046830,20.07
2014,OH,Final,6598181,52804334,4882160,12.5
2014,OK,Final,2343199,23351144,1710347,10.03
2014,OR,Final,1948732,18617613,1669122,10.47
2014,PA,Final,7217831,54195335,5289207,13.32
2014,RI,Final,527115,3070347,438878,17.17
2014,SC,Final,3824288,30715986,2157087,12.45
2014,SD,Final,505345,4827368,384745,10.47
2014,TN,Final,4392023,42538248,2756931,10.32
2014,TX,Final,16715817,140899744,10138871,11.86
2014,UT,Final,954231,8963971,1000410,10.65
2014,VA,Final,5155281,46443716,3303675,11.1
2014,VT,Final,370673,2121347,310932,17.47
2014,WA,Final,3040586,35082958,2907700,8.67
2014,WI,Final,2996152,21925712,2631429,13.67
2014,WV,Final,1119698,11990728,862867,9.34
2014,WY,Final,288879,2752313,265717,10.5
2014,US,Final,176178008,1407208311,128680294,12.52
2013,AK,Final,381181,2103966,277270,18.12
2013,AL,Final,3532584,31378659,2158895,11.26
2013,AR,Final,1746489,18219287,1339679,9.59
2013,AZ,Final,3877986,33103602,2630594,11.71
2013,CA,Final,14481054,89241934,13256422,16.23
2013,CO,Final,2210316,18528908,2169365,11.93
2013,CT,Final,2305821,13135451,1454963,17.55
2013,DC,Final,255575,2033618,235322,12.57
2013,DE,Final,591965,4570013,403519,12.95
2013,FL,Final,12770123,113293913,8756316,11.27
2013,GA,Final,6135755,53544411,4101344,11.46
2013,HI,Final,964882,2608853,422385,36.98
2013,IA,Final,1614968,14625866,1341788,11.04
2013,ID,Final,803665,8619262,680929,9.32
2013,IL,Final,4927661,46372234,5120603,10.63
2013,IN,Final,3672739,33406630,2771254,10.99
2013,KS,Final,1582807,13593003,1222978,11.64
2013,KY,Final,2623038,26788098,1935241,9.79
2013,LA,Final,2895482,30709206,2011042,9.43
2013,MA,Final,3282074,20727624,2708757,15.83
2013,MD,Final,3638091,27448367,2218947,13.25
2013,ME,Final,669227,4662303,704774,14.35
2013,MI,Final,4962369,34013168,4265257,14.59
2013,MN,Final,2698103,22849542,2329719,11.81
2013,MO,Final,3745002,35318204,2708932,10.6
2013,MS,Final,1989585,18462415,1260890,10.78
2013,MT,Final,508873,4926471,477261,10.33
2013,NC,Final,6172487,56251297,4268014,10.97
2013,ND,Final,459360,5038846,348484,9.12
2013,NE,Final,1037786,10062159,810844,10.31
2013,NH,Final,743587,4553871,603627,16.33
2013,NJ,Final,4489692,28544638,3461107,15.73
2013,NM,Final,794916,6803987,865195,11.68
2013,NV,Final,1444315,12142431,1094769,11.89
2013,NY,Final,9543510,50777369,7027862,18.79
2013,OH,Final,6264302,52158094,4875342,12.01
2013,OK,Final,2244427,23199968,1693145,9.67
2013,OR,Final,1913137,19328558,1650799,9.9
2013,PA,Final,6938374,54251847,5272852,12.79
